READ1	READ2	READ3	READ4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	3	4	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
17	25	23	30
0	0	0	0
573	912	1006	890
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	1	5	4
2207	3402	2652	2474
60	84	123	116
3	3	4	1
3	5	9	5
1	1	0	6
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
0	1	0	0
18	8	16	6
0	0	0	0
0	0	0	0
